"Id","ProviderName","TimeCreated","TaskDisplayName"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:41 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:41 PM","Logoff"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:41 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:41 PM","Logon"
"4648","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:41 PM","Logon"
"4769","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:41 PM","Kerberos Service Ticket Operations"
"4768","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:41 PM","Kerberos Authentication Service"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:35 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:35 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:35 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:11:35 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:11:35 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:11:35 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:11:03 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:53 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:53 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:53 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:53 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:53 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:52 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:52 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:52 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:52 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:52 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:52 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:39 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:39 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:39 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:39 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:39 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:39 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:35 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:35 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:10:35 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:09:35 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:09:35 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:09:35 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:08:35 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:08:35 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:08:35 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:52 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:52 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:52 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:52 PM","Logoff"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:51 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:51 PM","Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:51 PM","Logoff"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Special Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Logon"
"4648","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Logon"
"4648","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Logon"
"4648","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:50 PM","Logon"
"4769","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:49 PM","Kerberos Service Ticket Operations"
"4768","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:49 PM","Kerberos Authentication Service"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:07:49 PM","Special Logon"
